draw,serial,28,1,0.36,19.94,20.41
draw,serial,28,1,0.39,20.27,20.78
draw,serial,28,1,0.38,20.06,20.54
limits,serial,28,1,0.00,5.31,5.32
limits,serial,28,1,0.00,5.19,5.20
limits,serial,28,1,0.00,5.23,5.24
draw,pthread,28,1,0.42,19.66,20.19
draw,pthread,28,1,0.38,20.27,20.78
draw,pthread,28,1,0.37,20.01,20.49
draw,pthread,28,2,0.38,20.22,10.74
draw,pthread,28,2,0.42,20.58,11.00
draw,pthread,28,2,0.40,20.71,11.26
draw,pthread,28,3,0.44,23.58,9.32
draw,pthread,28,3,0.44,22.35,8.76
draw,pthread,28,3,0.43,20.09,7.63
draw,pthread,28,4,0.44,21.62,6.61
draw,pthread,28,4,0.44,23.38,6.95
draw,pthread,28,4,0.43,23.22,7.43
draw,pthread,28,5,0.51,28.46,7.25
draw,pthread,28,5,0.48,26.63,6.91
draw,pthread,28,5,0.53,25.80,6.82
draw,pthread,28,6,0.50,29.86,6.64
draw,pthread,28,6,0.51,30.84,6.67
draw,pthread,28,6,0.53,31.50,6.82
draw,pthread,28,7,0.52,33.14,5.91
draw,pthread,28,7,0.58,33.30,6.03
draw,pthread,28,7,0.56,33.46,6.12
draw,pthread,28,8,0.55,34.65,5.54
draw,pthread,28,8,0.54,35.09,5.47
draw,pthread,28,8,0.56,35.05,5.45
draw,tbb,28,1,0.39,19.91,20.41
draw,tbb,28,1,0.39,19.88,20.38
draw,tbb,28,1,0.39,20.24,20.75
draw,tbb,28,2,0.49,23.15,12.11
draw,tbb,28,2,0.47,20.17,10.64
draw,tbb,28,2,0.46,20.60,10.84
draw,tbb,28,3,0.96,30.71,9.13
draw,tbb,28,3,0.91,27.71,8.60
draw,tbb,28,3,1.01,29.83,9.37
draw,tbb,28,4,0.82,28.86,8.57
draw,tbb,28,4,0.83,27.76,8.65
draw,tbb,28,4,1.01,28.45,8.16
draw,tbb,28,5,0.96,36.05,5.56
draw,tbb,28,5,0.98,35.92,5.44
draw,tbb,28,5,0.94,35.86,5.62
draw,tbb,28,6,0.97,35.88,5.56
draw,tbb,28,6,0.95,35.97,5.67
draw,tbb,28,6,1.21,35.81,6.27
draw,tbb,28,7,1.07,35.66,5.85
draw,tbb,28,7,1.00,35.64,5.68
draw,tbb,28,7,1.00,35.95,5.62
draw,tbb,28,8,1.06,35.81,5.68
draw,tbb,28,8,1.02,35.77,5.61
draw,tbb,28,8,0.99,35.81,5.69
limits,pthread,28,1,0.00,5.20,5.22
limits,pthread,28,1,0.00,5.43,5.45
limits,pthread,28,1,0.00,5.16,5.17
limits,pthread,28,2,0.00,5.18,2.61
limits,pthread,28,2,0.00,5.20,2.63
limits,pthread,28,2,0.00,5.23,2.64
limits,pthread,28,3,0.00,6.00,2.17
limits,pthread,28,3,0.00,5.68,2.01
limits,pthread,28,3,0.00,5.81,2.10
limits,pthread,28,4,0.00,5.47,1.39
limits,pthread,28,4,0.00,5.91,1.62
limits,pthread,28,4,0.00,5.86,1.60
limits,pthread,28,5,0.00,6.40,1.52
limits,pthread,28,5,0.00,6.54,1.68
limits,pthread,28,5,0.00,6.54,1.68
limits,pthread,28,6,0.00,7.55,1.46
limits,pthread,28,6,0.00,7.44,1.46
limits,pthread,28,6,0.00,7.64,1.49
limits,pthread,28,7,0.00,8.51,1.33
limits,pthread,28,7,0.00,8.29,1.32
limits,pthread,28,7,0.00,8.53,1.33
limits,pthread,28,8,0.00,9.17,1.21
limits,pthread,28,8,0.01,9.08,1.22
limits,pthread,28,8,0.00,9.12,1.21
limits,tbb,28,1,0.00,5.08,5.09
limits,tbb,28,1,0.00,5.04,5.05
limits,tbb,28,1,0.00,5.13,5.13
limits,tbb,28,2,0.04,7.29,3.67
limits,tbb,28,2,0.03,5.34,2.69
limits,tbb,28,2,0.01,5.59,2.81
limits,tbb,28,3,0.21,7.57,2.18
limits,tbb,28,3,0.16,7.54,2.19
limits,tbb,28,3,0.16,7.21,2.03
limits,tbb,28,4,0.09,6.35,1.71
limits,tbb,28,4,0.17,7.80,2.18
limits,tbb,28,4,0.01,7.62,2.29
limits,tbb,28,5,0.03,9.36,1.25
limits,tbb,28,5,0.01,9.25,1.22
limits,tbb,28,5,0.01,9.28,1.23
limits,tbb,28,6,0.02,9.26,1.22
limits,tbb,28,6,0.04,9.11,1.31
limits,tbb,28,6,0.05,9.25,1.38
limits,tbb,28,7,0.02,9.27,1.24
limits,tbb,28,7,0.05,9.17,1.39
limits,tbb,28,7,0.05,9.13,1.31
limits,tbb,28,8,0.04,9.11,1.31
limits,tbb,28,8,0.03,9.27,1.25
limits,tbb,28,8,0.02,9.22,1.25
